Sno,Block,Subblock,Dimension,Dimension,Type,Original or Derived,Choices (old),Choices (cleaned),Choice_Type,No. of Choices,Description (TBD),Global Filter,Word Cloud,Bar Plot,Scatter Plot Central,Scatter Plot Left,Radar Plot,Sankey Diagram,Tool Tip
1,Meta Data,,Recruitment Channel,Recruitment Channel,categorical,Original,"UBC, OUTUBC, CLOSECIRCLES, LOCAL, LOCAL-NEW, ONLINE, ONLINE-NEW","UBC, OUTUBC, CLOSECIRCLES, LOCAL, LOCAL-NEW, ONLINE, ONLINE-NEW",Single ,7,The different channels we used to captured our survey responses.,,,,,,,,
2,Meta Data,,Recruitment Category,Recruitment Category,categorical,Original,"Email, Slack, Flyer, Instagram, Facebook Group, Word of mouth, Other, Prefer not to answer  ","Discord, Email, Slack, Flyer, Instagram, Facebook, Word of mouth, Not answered",Single ,8,,,use,use,use,use,,use,
4,Demographics,General,Gender,Gender,categorical,Original,"Male, Female, Non-binary, Prefer not to disclose, Prefer to self-describe  ","Male, Female, Non-binary, Not disclosed, Self-described",Single ,5,,use,,use,use,use,,use,use
6,Demographics,General,Cultural Background,Cultural Background,categorical,Original,"Black/African Canadian, East Asian, Hispanic/Latinx, First Nations or Indigenous (please specify), Pacific Islander, South Asian, European/White, Middle Eastern, Prefer not to disclose, Prefer to self-describe  ","Black/African Canadian, East Asian, Hispanic/Latinx, Indigenous, Pacific Islander, South Asian, European/White, Middle Eastern, Not disclosed, Self-described",Multi,10,,use,use,,use,use,,use,use
9,Demographics,General,Age,Age,categorical,Original,"18-24, 25-35, 36-45, 45-65, Over 65, Prefer not to disclose","18-24, 25-35, 36-45, 45-65, Over 65",Single ,5,,use,,use,use,use,,use,use
10,Demographics,General,Education [OLD],Education [OLD],categorical,Original,"No schooling completed, High School Diploma, Some college credit but less than 1 year of college, 1 or more years of college credit no degree, Trade/technical/vocational training, Associates degree (for example: AA, AS), Bachelor’s degree (for example: BA. BS), Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA), Professional degree beyond bachelor’s degree (for example: MD, DDS, DVM, LLB, JD), Doctorate degree (for example, PhD, EdD), Others, Prefer not to disclose","No schooling completed, High School Diploma, Some college credit, 1 or more years of college credit, Trade/technical/vocational training, Associates degree, Bachelor's degree, Master's degree, Professional degree beyond bachelor's degree, Doctorate degree, Others, Not answered",Single ,12,,,,,,,,,
11,Demographics,General,Education,Education,categorical,Derived,"No schooling completed, High School Diploma, Bachelor's degree or equivalent, Master's degree or equivalent, Doctorate degree","No schooling completed, High School, Bachelors, Masters, Doctorate",Single ,5,,,use,use,use,use,,use,use
13,Demographics,General,Lived Experiences,Lived Experiences,categorical,Original,"LGBTQIA+, Neurodivergent, Person of Colour, Person of a Marginalised Gender Identity, Indigenous/Native/First Nations, Person of a Minority Religion or Faith, Immigrant or Foreign-Born, Refugee or Asylum Seeker, Person from a Low-Income Background, Survivor of Domestic Violence or Abuse, Survivor of Violence or Abuse, Veteran or Active Duty Military Personnel, Person who has Experienced Homelessness, Person with Chronic Illness or Medical Condition, Caregiver (Caring for a family member or loved one), Person from a Rural or Remote Area, Student, Parent, Not Applicable, Prefer to self-describe, Prefer not to disclose

","LGBTQIA+, Neurodivergent, Person of Colour, Marginalised Gender Identity, Indigenous, Minority Religion, Immigrant, Refugee, Low-Income, Domestic Violence Survivor, Violence Survivor, Veteran, Homelessness, Medical Condition, Caregiver, From Rural Area, Student, Parent, Not Applicable, Self-described, Not disclosed
",Multi,21,,,use,,,,,use,use
15,Demographics,Personality Specific,Reserved Self-Perception,Reserved Self-Perception,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
16,Demographics,Personality Specific,Generally Trusting,Generally Trusting,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
17,Demographics,Personality Specific,Tends to be Lazy,Tends to be Lazy,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
18,Demographics,Personality Specific,"Relaxed, Handles Stress Well","Relaxed, Handles Stress Well",categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
19,Demographics,Personality Specific,Has Few Artistic Interests,Has Few Artistic Interests,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
20,Demographics,Personality Specific,"Outgoing, Sociable","Outgoing, Sociable",categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
21,Demographics,Personality Specific,Tends to Find Fault,Tends to Find Fault,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
22,Demographics,Personality Specific,Does a Thorough Job,Does a Thorough Job,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
23,Demographics,Personality Specific,Gets Nervous Easily,Gets Nervous Easily,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
24,Demographics,Personality Specific,Has an Active Imagination,Has an Active Imagination,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,
